replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483588007,1,1322,3.2800000000000002,0.96,1.1600000000000001,1,0,-1,0,1,0,2,2,0
gen9vgc2025regj-2483588007,3,1322,4.33,1.35,1.49,2,1,-1,1,1,0,2,2,0
gen9vgc2025regj-2483588007,5,1322,4.79,1.6800000000000002,1.555,2,3,1,1,1,0,2,1,0
gen9vgc2025regj-2483588007,7,1322,4.0,1.4,1.3,4,3,-1,1,1,0,2,1,0
gen9vgc2025regj-2483586992,1,1107,2.77,1.88,0.44500000000000006,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483586992,3,1107,2.7,1.6400000000000001,0.53,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483586992,5,1107,2.48,1.76,0.36,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483586992,7,1107,2.3499999999999996,1.6400000000000001,0.35499999999999976,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483586992,9,1107,2.3499999999999996,0.0,1.1749999999999998,0,3,3,0,0,0,2,0,1
gen9vgc2025regj-2483584373,1,1513,2.0,2.0,0.0,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483584373,3,1513,3.19,4.21,-0.51,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483584373,5,1513,2.62,3.63,-0.5049999999999999,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483584373,7,1513,2.21,3.67,-0.73,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483584373,9,1513,2.21,4.31,-1.0499999999999998,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483584373,11,1513,2.21,4.55,-1.17,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483584373,13,1513,4.0,4.32,-0.16000000000000014,1,1,0,0,1,0,2,2,0
gen9vgc2025regj-2483584373,15,1513,2.0,3.32,-0.6599999999999999,3,2,-1,0,1,0,1,2,0
gen9vgc2025regj-2483586764,1,1049,1.72,1.55,0.08499999999999996,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483586764,3,1049,3.0,1.28,0.86,3,2,-1,1,0,0,2,2,0
gen9vgc2025regj-2483572616,1,1399,3.67,3.86,-0.09499999999999997,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483572616,3,1399,5.33,2.75,1.29,2,1,-1,1,1,0,2,2,0
gen9vgc2025regj-2483572616,5,1399,4.0600000000000005,3.14,0.4600000000000002,3,1,-2,1,1,0,2,2,0
gen9vgc2025regj-2483572328,1,1123,3.7800000000000002,2.0,0.8900000000000001,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483572328,3,1123,4.29,2.0,1.145,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483572328,5,1123,4.41,3.0,0.7050000000000001,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483572328,7,1123,4.08,3.34,0.3700000000000001,1,1,0,0,0,0,2,2,0
gen9vgc2025regj-2483572328,9,1123,4.609999999999999,3.47,0.5699999999999996,2,2,0,0,0,0,2,2,0
gen9vgc2025regj-2483572328,11,1123,3.25,2.56,0.345,3,2,-1,0,0,0,1,2,0
gen9vgc2025regj-2483572328,13,1123,3.46,2.46,0.5,3,3,0,0,0,0,1,2,0
